Timestamp,Sensor,X,Y,Z
73965.405524896,Accelerometer,-4.97,7.45,3.75
73965.598067709,Accelerometer,-4.9,7.35,3.73
73965.790610521,Accelerometer,-4.67,7.77,3.84
73965.983153334,Accelerometer,-3.67,7.74,3.92
73966.175696146,Accelerometer,-3.47,7.69,4.05
73966.368239063,Accelerometer,-3.03,7.53,5.94
73966.753324792,Accelerometer,-3.36,7.45,4.58
73966.945867605,Accelerometer,-3.49,7.62,5.04
73967.138410521,Accelerometer,-3.27,7.66,4.96
73967.330953438,Accelerometer,-3.22,7.22,5.2
73967.523496355,Accelerometer,-1.38,7.82,5.61
73967.716039375,Accelerometer,-0.27,8.55,5.28
73967.908582292,Accelerometer,-0.34,8.96,3.91
73968.101125313,Accelerometer,-1.71,8.42,3.85
73968.29366823,Accelerometer,-1.71,8.5,4.35
73968.48621125,Accelerometer,-1.7,8.48,4.41
73968.678754271,Accelerometer,-1.59,8.47,4.56
73968.871297292,Accelerometer,-1.45,8.52,4.41
73969.063840313,Accelerometer,-1.63,8.41,4.57
73969.256383334,Accelerometer,-1.69,8.37,4.45
73969.448926459,Accelerometer,-1.51,8.51,4.49
73969.641469584,Accelerometer,-1.57,8.45,4.5
73969.834012605,Accelerometer,-1.62,8.44,4.5
73970.02655573,Accelerometer,-1.7,8.43,4.44
73970.219098855,Accelerometer,-1.67,8.44,4.32
73970.41164198,Accelerometer,-1.66,8.46,4.5
73970.604185105,Accelerometer,-1.68,8.45,4.44
73970.79672823,Accelerometer,-1.7,8.45,4.43
73970.989271459,Accelerometer,-1.71,8.45,4.4
73971.181814688,Accelerometer,-1.71,8.45,4.42
73971.374357813,Accelerometer,-1.69,8.46,4.4
73971.566901042,Accelerometer,-1.71,8.44,4.45
73971.759444271,Accelerometer,-1.69,8.45,4.43
73971.9519875,Accelerometer,-1.71,8.44,4.44
73972.14453073,Accelerometer,-1.71,8.45,4.43
73972.337073959,Accelerometer,-1.75,8.44,4.44
73972.529617292,Accelerometer,-1.75,8.45,4.42
73972.722160521,Accelerometer,-1.75,8.43,4.41
73972.914703855,Accelerometer,-1.74,8.43,4.37
73973.107247084,Accelerometer,-1.73,8.41,4.43
73973.299790417,Accelerometer,-1.5,8.56,4.43
73973.49233375,Accelerometer,-1.6,8.45,4.4
73973.684877084,Accelerometer,-1.59,8.5,4.42
73973.877420417,Accelerometer,-1.58,8.51,4.31
73974.069963855,Accelerometer,-1.58,8.53,4.31
73974.262507188,Accelerometer,-1.56,8.54,4.36
73974.455050625,Accelerometer,-1.59,8.5,4.29
73974.647594063,Accelerometer,-1.57,8.53,4.35
73974.840137396,Accelerometer,-1.58,8.51,4.34
73975.032680834,Accelerometer,-1.53,8.56,4.34
73975.225224271,Accelerometer,-1.6,8.52,4.29
73975.417767709,Accelerometer,-1.58,8.55,4.3
73975.610311146,Accelerometer,-1.62,8.52,4.31
73975.802854688,Accelerometer,-1.62,8.53,4.3
73975.995398125,Accelerometer,-1.62,8.51,4.3
73976.187941667,Accelerometer,-1.64,8.53,4.33
73976.380485105,Accelerometer,-1.59,8.52,4.32
73976.573028646,Accelerometer,-1.61,8.52,4.32
73976.765572188,Accelerometer,-1.59,8.51,4.32
73976.95811573,Accelerometer,-1.58,8.52,4.38
73977.150659271,Accelerometer,-1.58,8.51,4.31
73977.343202813,Accelerometer,-1.55,8.52,4.39
73977.535746355,Accelerometer,-1.57,8.52,4.29
73977.72829,Accelerometer,-1.59,8.51,4.33
73977.920833542,Accelerometer,-1.6,8.48,4.37
73978.113377188,Accelerometer,-1.61,8.48,4.47
73978.305920834,Accelerometer,-1.78,8.33,4.42
73978.498464375,Accelerometer,-1.2,8.66,4.26
73978.691008021,Accelerometer,-1.19,8.67,4.22
73978.883551667,Accelerometer,-1.31,8.59,4.09
73979.076095313,Accelerometer,-1.31,8.58,4.58
73979.268638959,Accelerometer,-1.43,8.44,4.55
73979.461182709,Accelerometer,-1.49,8.45,4.51
73979.653726355,Accelerometer,-1.38,8.55,4.27
73979.846270105,Accelerometer,-1.42,8.56,4.28
73980.03881375,Accelerometer,-1.22,8.65,4.15
73980.2313575,Accelerometer,-1.31,8.64,4.17
73980.616444896,Accelerometer,-1.49,8.53,4.46
73980.808988646,Accelerometer,-1.36,8.56,4.05
73981.001532396,Accelerometer,-1.42,8.53,4.52
73981.19407625,Accelerometer,-1.22,8.66,4.28
73981.38662,Accelerometer,-1.38,8.55,4.14
73981.57916375,Accelerometer,-1.26,8.64,4.24
73981.771707605,Accelerometer,-1.27,8.65,4.36
73981.964251355,Accelerometer,-1.44,8.48,4.0
73982.156795105,Accelerometer,-1.01,8.83,4.26
73982.349338959,Accelerometer,-1.23,8.65,4.09
73982.541882813,Accelerometer,-1.19,8.69,4.01
73982.734426667,Accelerometer,-1.2,8.7,4.08
73982.926970521,Accelerometer,-1.23,8.71,4.15
73983.119514375,Accelerometer,-1.27,8.68,3.96
73983.31205823,Accelerometer,-1.21,8.69,4.09
73983.504602084,Accelerometer,-1.22,8.69,4.14
73983.697145938,Accelerometer,-1.24,8.69,4.08
73983.889689792,Accelerometer,-1.24,8.68,4.11
73984.08223375,Accelerometer,-1.24,8.69,4.09
73984.274777605,Accelerometer,-1.39,8.58,4.35
73984.467321563,Accelerometer,-1.3,8.61,4.08
73984.659865417,Accelerometer,-1.53,8.5,4.53
73984.852409375,Accelerometer,-1.37,8.6,4.4
73985.044953334,Accelerometer,-1.42,8.51,4.15
73985.237497188,Accelerometer,-1.65,8.41,4.63
73985.430041146,Accelerometer,-1.2,8.64,4.19
73985.622585105,Accelerometer,-1.4,8.56,4.31
73985.815129063,Accelerometer,-1.41,8.57,4.31
73986.007673021,Accelerometer,-1.39,8.56,4.18
73986.200217084,Accelerometer,-1.57,8.41,4.67
73986.392761042,Accelerometer,-1.48,8.46,4.53
73986.585305,Accelerometer,-1.5,8.45,4.51
73986.777848959,Accelerometer,-1.48,8.5,4.32
73986.970393021,Accelerometer,-1.51,8.51,4.35
73987.16293698,Accelerometer,-1.52,8.49,4.38
73987.355481042,Accelerometer,-1.47,8.52,4.36
73987.548025105,Accelerometer,-1.5,8.5,4.4
73987.740569063,Accelerometer,-1.44,8.6,4.55
73987.933113125,Accelerometer,-1.58,8.46,3.93
73988.125657188,Accelerometer,-1.37,8.67,4.28
73988.31820125,Accelerometer,-1.3,8.69,4.09
73988.510745313,Accelerometer,-1.55,8.53,4.19
73988.703289375,Accelerometer,-1.31,8.67,4.18
73988.895833438,Accelerometer,-1.39,8.63,4.22
73989.0883775,Accelerometer,-1.36,8.57,4.14
73989.280921667,Accelerometer,-1.1,8.72,4.26
73989.47346573,Accelerometer,-1.13,8.66,4.16
73989.666009896,Accelerometer,-1.12,8.66,4.14
73989.858553959,Accelerometer,-1.08,8.67,4.26
73990.051098125,Accelerometer,-1.09,8.67,4.13
73990.243642188,Accelerometer,-1.1,8.66,4.14
73990.628730417,Accelerometer,-1.17,8.55,4.04
73990.821274584,Accelerometer,-1.14,8.69,4.37
73991.01381875,Accelerometer,-0.99,8.61,4.48
73991.206362917,Accelerometer,-1.15,8.53,4.52
